,TgtCndMovDirectStatusFlg,TgtCndGndVelLong,TgtCndGndVelLat,TgtCndAbsHdAng,TgtCndConf,InitEnableFlg
68,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg down,VALID,VALID
69,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg down,VALID,INVALID
70,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg down,INVALID,VALID
71,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg down,INVALID,INVALID
72,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg up,VALID,VALID
73,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg up,VALID,INVALID
74,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg up,INVALID,VALID
75,Default,Stop,(+-) 1.38mps down,(dy/dx) 40deg up,INVALID,INVALID
76,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg down,VALID,VALID
77,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg down,VALID,INVALID
78,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg down,INVALID,VALID
79,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg down,INVALID,INVALID
80,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg up,VALID,VALID
81,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg up,VALID,INVALID
82,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg up,INVALID,VALID
83,Default,Stop,(+-) 1.38mps down,(dy/dx) 50deg up,INVALID,INVALID
84,Default,Stop,(+-) 0.1mps up,0,VALID,VALID
85,Default,Stop,(+-) 0.1mps up,0,VALID,INVALID
86,Default,Stop,(+-) 0.1mps up,0,INVALID,VALID
87,Default,Stop,(+-) 0.1mps up,0,INVALID,INVALID
88,Default,Stop,(+-) 0.1mps up,(dx),VALID,VALID
89,Default,Stop,(+-) 0.1mps up,(dx),VALID,INVALID
90,Default,Stop,(+-) 0.1mps up,(dx),INVALID,VALID
91,Default,Stop,(+-) 0.1mps up,(dx),INVALID,INVALID
92,Default,Stop,(+-) 0.1mps up,(dy),VALID,VALID
93,Default,Stop,(+-) 0.1mps up,(dy),VALID,INVALID
94,Default,Stop,(+-) 0.1mps up,(dy),INVALID,VALID
95,Default,Stop,(+-) 0.1mps up,(dy),INVALID,INVALID
96,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg down,VALID,VALID
97,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg down,VALID,INVALID
98,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg down,INVALID,VALID
99,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg down,INVALID,INVALID
100,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg up,VALID,VALID
101,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg up,VALID,INVALID
102,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg up,INVALID,VALID
103,Default,Stop,(+-) 0.1mps up,(dy/dx) 40deg up,INVALID,INVALID
104,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg down,VALID,VALID
105,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg down,VALID,INVALID
106,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg down,INVALID,VALID
107,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg down,INVALID,INVALID
108,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg up,VALID,VALID
109,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg up,VALID,INVALID
110,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg up,INVALID,VALID
111,Default,Stop,(+-) 0.1mps up,(dy/dx) 50deg up,INVALID,INVALID
112,Default,Stop,(+-) 0.1mps down,0,VALID,VALID
113,Default,Stop,(+-) 0.1mps down,0,VALID,INVALID
114,Default,Stop,(+-) 0.1mps down,0,INVALID,VALID
115,Default,Stop,(+-) 0.1mps down,0,INVALID,INVALID
116,Default,Stop,(+-) 0.1mps down,(dx),VALID,VALID
117,Default,Stop,(+-) 0.1mps down,(dx),VALID,INVALID
118,Default,Stop,(+-) 0.1mps down,(dx),INVALID,VALID
119,Default,Stop,(+-) 0.1mps down,(dx),INVALID,INVALID
120,Default,Stop,(+-) 0.1mps down,(dy),VALID,VALID
121,Default,Stop,(+-) 0.1mps down,(dy),VALID,INVALID
122,Default,Stop,(+-) 0.1mps down,(dy),INVALID,VALID
123,Default,Stop,(+-) 0.1mps down,(dy),INVALID,INVALID
124,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg down,VALID,VALID
125,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg down,VALID,INVALID
126,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg down,INVALID,VALID
127,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg down,INVALID,INVALID
128,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg up,VALID,VALID
129,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg up,VALID,INVALID
130,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg up,INVALID,VALID
131,Default,Stop,(+-) 0.1mps down,(dy/dx) 40deg up,INVALID,INVALID
132,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg down,VALID,VALID
133,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg down,VALID,INVALID
134,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg down,INVALID,VALID
135,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg down,INVALID,INVALID
136,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg up,VALID,VALID
137,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg up,VALID,INVALID
138,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg up,INVALID,VALID
139,Default,Stop,(+-) 0.1mps down,(dy/dx) 50deg up,INVALID,INVALID
140,Default,(+) 1.38mps up,Stop,0,VALID,VALID
141,Default,(+) 1.38mps up,Stop,0,VALID,INVALID
142,Default,(+) 1.38mps up,Stop,0,INVALID,VALID
143,Default,(+) 1.38mps up,Stop,0,INVALID,INVALID
144,Default,(+) 1.38mps up,Stop,(dx),VALID,VALID
145,Default,(+) 1.38mps up,Stop,(dx),VALID,INVALID
146,Default,(+) 1.38mps up,Stop,(dx),INVALID,VALID
147,Default,(+) 1.38mps up,Stop,(dx),INVALID,INVALID
148,Default,(+) 1.38mps up,Stop,(dy),VALID,VALID
149,Default,(+) 1.38mps up,Stop,(dy),VALID,INVALID
150,Default,(+) 1.38mps up,Stop,(dy),INVALID,VALID
151,Default,(+) 1.38mps up,Stop,(dy),INVALID,INVALID
152,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg down,VALID,VALID
153,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg down,VALID,INVALID
154,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg down,INVALID,VALID
155,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg down,INVALID,INVALID
156,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg up,VALID,VALID
157,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg up,VALID,INVALID
158,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg up,INVALID,VALID
159,Default,(+) 1.38mps up,Stop,(dy/dx) 40deg up,INVALID,INVALID
160,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg down,VALID,VALID
161,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg down,VALID,INVALID
162,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg down,INVALID,VALID
163,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg down,INVALID,INVALID
164,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg up,VALID,VALID
165,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg up,VALID,INVALID
166,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg up,INVALID,VALID
167,Default,(+) 1.38mps up,Stop,(dy/dx) 50deg up,INVALID,INVALID
168,Default,(+) 1.38mps up,(+-) 1.38mps up,0,VALID,VALID
169,Default,(+) 1.38mps up,(+-) 1.38mps up,0,VALID,INVALID
170,Default,(+) 1.38mps up,(+-) 1.38mps up,0,INVALID,VALID
171,Default,(+) 1.38mps up,(+-) 1.38mps up,0,INVALID,INVALID
172,Default,(+) 1.38mps up,(+-) 1.38mps up,(dx),VALID,VALID
173,Default,(+) 1.38mps up,(+-) 1.38mps up,(dx),VALID,INVALID
174,Default,(+) 1.38mps up,(+-) 1.38mps up,(dx),INVALID,VALID
175,Default,(+) 1.38mps up,(+-) 1.38mps up,(dx),INVALID,INVALID
176,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy),VALID,VALID
177,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy),VALID,INVALID
178,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy),INVALID,VALID
179,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy),INVALID,INVALID
180,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg down,VALID,VALID
181,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg down,VALID,INVALID
182,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg down,INVALID,VALID
183,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg down,INVALID,INVALID
184,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg up,VALID,VALID
185,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg up,VALID,INVALID
186,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg up,INVALID,VALID
187,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 40deg up,INVALID,INVALID
188,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg down,VALID,VALID
189,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg down,VALID,INVALID
190,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg down,INVALID,VALID
191,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg down,INVALID,INVALID
192,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg up,VALID,VALID
193,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg up,VALID,INVALID
194,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg up,INVALID,VALID
195,Default,(+) 1.38mps up,(+-) 1.38mps up,(dy/dx) 50deg up,INVALID,INVALID
196,Default,(+) 1.38mps up,(+-) 1.38mps down,0,VALID,VALID
197,Default,(+) 1.38mps up,(+-) 1.38mps down,0,VALID,INVALID
198,Default,(+) 1.38mps up,(+-) 1.38mps down,0,INVALID,VALID
199,Default,(+) 1.38mps up,(+-) 1.38mps down,0,INVALID,INVALID
200,Default,(+) 1.38mps up,(+-) 1.38mps down,(dx),VALID,VALID
201,Default,(+) 1.38mps up,(+-) 1.38mps down,(dx),VALID,INVALID
202,Default,(+) 1.38mps up,(+-) 1.38mps down,(dx),INVALID,VALID
203,Default,(+) 1.38mps up,(+-) 1.38mps down,(dx),INVALID,INVALID
204,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy),VALID,VALID
205,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy),VALID,INVALID
206,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy),INVALID,VALID
207,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy),INVALID,INVALID
208,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg down,VALID,VALID
209,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg down,VALID,INVALID
210,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg down,INVALID,VALID
211,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg down,INVALID,INVALID
212,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg up,VALID,VALID
213,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg up,VALID,INVALID
214,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg up,INVALID,VALID
215,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 40deg up,INVALID,INVALID
216,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg down,VALID,VALID
217,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg down,VALID,INVALID
218,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg down,INVALID,VALID
219,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg down,INVALID,INVALID
220,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg up,VALID,VALID
221,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg up,VALID,INVALID
222,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg up,INVALID,VALID
223,Default,(+) 1.38mps up,(+-) 1.38mps down,(dy/dx) 50deg up,INVALID,INVALID
224,Default,(+) 1.38mps up,(+-) 0.1mps up,0,VALID,VALID
225,Default,(+) 1.38mps up,(+-) 0.1mps up,0,VALID,INVALID
226,Default,(+) 1.38mps up,(+-) 0.1mps up,0,INVALID,VALID
227,Default,(+) 1.38mps up,(+-) 0.1mps up,0,INVALID,INVALID
228,Default,(+) 1.38mps up,(+-) 0.1mps up,(dx),VALID,VALID
229,Default,(+) 1.38mps up,(+-) 0.1mps up,(dx),VALID,INVALID
230,Default,(+) 1.38mps up,(+-) 0.1mps up,(dx),INVALID,VALID
231,Default,(+) 1.38mps up,(+-) 0.1mps up,(dx),INVALID,INVALID
232,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy),VALID,VALID
233,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy),VALID,INVALID
234,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy),INVALID,VALID
235,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy),INVALID,INVALID
236,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg down,VALID,VALID
237,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg down,VALID,INVALID
238,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg down,INVALID,VALID
239,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg down,INVALID,INVALID
240,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg up,VALID,VALID
241,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg up,VALID,INVALID
242,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg up,INVALID,VALID
243,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 40deg up,INVALID,INVALID
244,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg down,VALID,VALID
245,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg down,VALID,INVALID
246,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg down,INVALID,VALID
247,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg down,INVALID,INVALID
248,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg up,VALID,VALID
249,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg up,VALID,INVALID
250,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg up,INVALID,VALID
251,Default,(+) 1.38mps up,(+-) 0.1mps up,(dy/dx) 50deg up,INVALID,INVALID
252,Default,(+) 1.38mps up,(+-) 0.1mps down,0,VALID,VALID
253,Default,(+) 1.38mps up,(+-) 0.1mps down,0,VALID,INVALID
254,Default,(+) 1.38mps up,(+-) 0.1mps down,0,INVALID,VALID
255,Default,(+) 1.38mps up,(+-) 0.1mps down,0,INVALID,INVALID
256,Default,(+) 1.38mps up,(+-) 0.1mps down,(dx),VALID,VALID
257,Default,(+) 1.38mps up,(+-) 0.1mps down,(dx),VALID,INVALID
258,Default,(+) 1.38mps up,(+-) 0.1mps down,(dx),INVALID,VALID
259,Default,(+) 1.38mps up,(+-) 0.1mps down,(dx),INVALID,INVALID
260,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy),VALID,VALID
261,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy),VALID,INVALID
262,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy),INVALID,VALID
263,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy),INVALID,INVALID
264,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg down,VALID,VALID
265,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg down,VALID,INVALID
266,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg down,INVALID,VALID
267,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg down,INVALID,INVALID
268,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg up,VALID,VALID
269,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg up,VALID,INVALID
270,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg up,INVALID,VALID
271,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 40deg up,INVALID,INVALID
272,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg down,VALID,VALID
273,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg down,VALID,INVALID
274,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg down,INVALID,VALID
275,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg down,INVALID,INVALID
276,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg up,VALID,VALID
277,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg up,VALID,INVALID
278,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg up,INVALID,VALID
279,Default,(+) 1.38mps up,(+-) 0.1mps down,(dy/dx) 50deg up,INVALID,INVALID
280,Default,(+) 1.38mps down,Stop,0,VALID,VALID
281,Default,(+) 1.38mps down,Stop,0,VALID,INVALID
282,Default,(+) 1.38mps down,Stop,0,INVALID,VALID
283,Default,(+) 1.38mps down,Stop,0,INVALID,INVALID
284,Default,(+) 1.38mps down,Stop,(dx),VALID,VALID
285,Default,(+) 1.38mps down,Stop,(dx),VALID,INVALID
286,Default,(+) 1.38mps down,Stop,(dx),INVALID,VALID
287,Default,(+) 1.38mps down,Stop,(dx),INVALID,INVALID
288,Default,(+) 1.38mps down,Stop,(dy),VALID,VALID
289,Default,(+) 1.38mps down,Stop,(dy),VALID,INVALID
290,Default,(+) 1.38mps down,Stop,(dy),INVALID,VALID
291,Default,(+) 1.38mps down,Stop,(dy),INVALID,INVALID
292,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg down,VALID,VALID
293,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg down,VALID,INVALID
294,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg down,INVALID,VALID
295,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg down,INVALID,INVALID
296,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg up,VALID,VALID
297,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg up,VALID,INVALID
298,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg up,INVALID,VALID
299,Default,(+) 1.38mps down,Stop,(dy/dx) 40deg up,INVALID,INVALID
300,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg down,VALID,VALID
301,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg down,VALID,INVALID
302,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg down,INVALID,VALID
303,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg down,INVALID,INVALID
304,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg up,VALID,VALID
305,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg up,VALID,INVALID
306,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg up,INVALID,VALID
307,Default,(+) 1.38mps down,Stop,(dy/dx) 50deg up,INVALID,INVALID
308,Default,(+) 1.38mps down,(+-) 1.38mps up,0,VALID,VALID
309,Default,(+) 1.38mps down,(+-) 1.38mps up,0,VALID,INVALID
310,Default,(+) 1.38mps down,(+-) 1.38mps up,0,INVALID,VALID
311,Default,(+) 1.38mps down,(+-) 1.38mps up,0,INVALID,INVALID
312,Default,(+) 1.38mps down,(+-) 1.38mps up,(dx),VALID,VALID
313,Default,(+) 1.38mps down,(+-) 1.38mps up,(dx),VALID,INVALID
314,Default,(+) 1.38mps down,(+-) 1.38mps up,(dx),INVALID,VALID
315,Default,(+) 1.38mps down,(+-) 1.38mps up,(dx),INVALID,INVALID
316,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy),VALID,VALID
317,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy),VALID,INVALID
318,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy),INVALID,VALID
319,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy),INVALID,INVALID
320,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg down,VALID,VALID
321,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg down,VALID,INVALID
322,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg down,INVALID,VALID
323,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg down,INVALID,INVALID
324,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg up,VALID,VALID
325,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg up,VALID,INVALID
326,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg up,INVALID,VALID
327,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 40deg up,INVALID,INVALID
328,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg down,VALID,VALID
329,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg down,VALID,INVALID
330,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg down,INVALID,VALID
331,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg down,INVALID,INVALID
332,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg up,VALID,VALID
333,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg up,VALID,INVALID
334,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg up,INVALID,VALID
335,Default,(+) 1.38mps down,(+-) 1.38mps up,(dy/dx) 50deg up,INVALID,INVALID
336,Default,(+) 1.38mps down,(+-) 1.38mps down,0,VALID,VALID
337,Default,(+) 1.38mps down,(+-) 1.38mps down,0,VALID,INVALID
